transaction_id,user_id,transaction_amount,transaction_type,transaction_time,location,is_foreign_transaction,device_type,is_new_device,is_new_location,account_age_days,avg_transaction_amount,transactions_last_24h,failed_logins_24h,time_since_last_txn,txn_hour,is_weekend,is_fraud
T0049619,U5954,3240.15,NEFT,21-06-2024 12:37,Kolkata,0,Mobile,0,0,408,5057.97,2,0,1418,12,0,0
T0058978,U6890,5829,UPI,01-12-2024 08:15,Delhi,0,Desktop,0,0,1233,5393.88,4,0,503,8,1,0
T0083648,U9341,5493.65,UPI,06-06-2024 08:52,Hyderabad,0,Mobile,0,0,185,4521.59,2,0,815,8,0,0
T0072783,U8283,5741.61,UPI,07-11-2024 03:50,Bangalore,0,Tablet,0,0,1562,5580.33,1,0,1070,3,0,0
T0001116,U1111,2914.38,UPI,11-12-2024 12:22,Mumbai,0,Mobile,0,0,3055,3445.98,1,0,408,12,0,0
T0047518,U5741,3177.03,ATM Withdrawal,07-10-2024 07:51,Bangalore,0,Mobile,0,0,146,4454.39,4,0,1364,7,0,0
T0020202,U3032,3860.34,UPI,10-09-2024 07:09,Delhi,0,Mobile,0,0,2987,5296.71,1,0,980,7,0,0
T0093531,U10319,3952.45,UPI,07-06-2024 18:02,Bangalore,0,Mobile,0,0,168,3593.05,2,0,233,18,0,0
T0001699,U1171,1468.24,IMPS,11-08-2024 19:26,Bangalore,0,Mobile,0,0,123,3828.54,0,0,525,19,1,0
T0059328,U6928,6411.15,ATM Withdrawal,22-02-2024 22:18,Delhi,0,Mobile,0,0,2587,3341.42,2,3,1186,22,0,0
T0058378,U6836,3024.3,RTGS,08-04-2024 12:05,Mumbai,0,Mobile,0,0,2266,3719.44,1,0,1096,12,0,0
T0001300,U1130,2877.37,IMPS,27-10-2024 12:44,Kolkata,0,Mobile,0,0,2460,2990.18,4,0,716,12,1,0
T0005380,U1544,2283.64,NEFT,30-09-2024 04:05,Chennai,0,Desktop,0,0,3340,2996.52,0,0,781,4,0,0
T0014499,U2456,3571.36,RTGS,13-09-2024 03:16,Chennai,0,Mobile,0,0,2098,4297.53,3,0,146,3,0,0
T0082010,U9183,4144.36,IMPS,28-04-2024 06:48,Chennai,0,Mobile,0,0,1307,3671.88,4,0,1415,6,1,0
T0051958,U6192,3880.6,IMPS,08-12-2024 09:57,Chennai,0,Mobile,0,0,1848,4808.89,2,0,667,9,1,0
T0096369,U10612,2557.785,UPI,28-06-2024 06:49,Delhi,1,Desktop,1,1,3579,1832.15,3,0,444,6,0,1
T0092048,U10170,2255.48,NEFT,02-07-2024 06:03,Delhi,0,Mobile,0,0,1361,3996.81,1,0,845,6,0,0
T0016026,U2604,4502.84,UPI,22-10-2024 17:00,Delhi,0,Mobile,0,0,2287,4722.87,1,1,1157,17,0,0
T0032893,U4300,4883.49,UPI,13-06-2024 23:59,Hyderabad,0,Mobile,0,0,1649,3908.19,4,0,567,23,0,0
T0071357,U8140,3114.27,UPI,18-11-2024 20:31,Delhi,0,Mobile,0,0,1135,2751.24,2,0,1222,20,0,0
T0052800,U6278,3544.85,NEFT,10-11-2024 01:29,Delhi,0,Desktop,0,0,3390,3764.14,4,1,944,1,1,0
T0039061,U4911,2545.47,ATM Withdrawal,21-11-2024 00:59,Bangalore,0,Desktop,0,0,263,3552.42,1,1,113,0,0,0
T0047988,U5790,2044.37,POS,10-07-2024 14:03,Chennai,0,Mobile,0,0,150,2106.44,4,0,349,14,0,0
T0034889,U4497,3837.74,ATM Withdrawal,26-10-2024 10:07,Hyderabad,0,Mobile,0,0,104,4435.16,3,1,847,10,1,0
T0009034,U1909,1671.66,NEFT,17-06-2024 13:24,Bangalore,0,Mobile,0,0,3517,2770.81,6,0,602,13,0,0
T0049197,U5912,3903.46,UPI,18-05-2024 20:31,Delhi,0,Mobile,1,0,953,2585.65,4,0,839,20,1,1
T0008264,U1831,6354.54,ATM Withdrawal,05-04-2024 22:54,Bangalore,0,Mobile,1,0,3118,2976.9,0,0,781,22,0,1
T0032382,U4249,3590.37,NEFT,22-08-2024 20:27,Kolkata,0,Mobile,0,0,1969,3744.7,0,0,1135,20,0,0
T0046417,U5627,5284.32,UPI,27-04-2024 18:34,Kolkata,0,Mobile,0,0,900,5352.27,0,0,632,18,1,0
T0021907,U3198,2013.78,NEFT,21-10-2024 14:32,Delhi,0,Tablet,0,0,3575,2523.88,2,0,1220,14,0,0
T0079811,U8966,938.32,POS,24-10-2024 20:10,Hyderabad,0,Mobile,0,0,1888,3270.95,1,0,1279,20,0,0
T0022401,U3248,5735.87,ATM Withdrawal,15-04-2024 06:41,Mumbai,0,Mobile,0,0,2837,4487.72,1,1,785,6,0,0
T0015247,U2525,2716.53,UPI,26-07-2024 00:15,Kolkata,0,Mobile,0,0,2618,3125.71,1,0,312,0,0,0
T0005609,U1565,279.200594,IMPS,19-02-2024 20:39,Mumbai,0,Mobile,0,1,1775,3217.41,9,2,1328,20,0,1
T0022511,U3259,2117,POS,02-09-2024 05:32,Kolkata,0,Desktop,0,0,2195,3173.46,1,1,1216,5,0,0
T0047445,U5732,2835.16,UPI,01-07-2024 13:25,Mumbai,0,Tablet,0,0,2030,3048.98,3,1,405,13,0,0
T0042476,U5238,3153.35,NEFT,31-01-2024 10:48,Hyderabad,0,Mobile,0,0,3596,2853.64,1,0,546,10,0,0
T0096421,U10618,4713.28,UPI,28-06-2024 08:31,Hyderabad,0,Mobile,0,0,2830,3417.99,2,3,184,8,0,0
T0052407,U6238,3477.49,NEFT,22-04-2024 13:17,Kolkata,0,Mobile,0,0,2224,4449.06,3,0,402,13,0,0
T0097246,U10704,4575.06,POS,12-03-2024 06:00,Delhi,0,Mobile,0,0,2511,4762.58,1,1,740,6,0,0
T0077232,U8721,3550.31,ATM Withdrawal,23-03-2024 13:10,Kolkata,0,Mobile,0,0,3462,2597.18,1,0,560,13,1,0
T0072253,U8232,3023.93,ATM Withdrawal,23-06-2024 05:57,Hyderabad,0,Mobile,0,1,1930,3654.58,4,0,762,5,1,0
T0021877,U3195,332.33,RTGS,12-01-2024 15:55,Delhi,0,Tablet,0,0,3105,2699.02,4,0,1118,15,0,0
T0039557,U4955,3392.81,UPI,21-03-2024 02:24,Chennai,0,Mobile,0,0,2243,2978.02,1,0,1354,2,0,0
T0058454,U6843,4055.85,UPI,06-10-2024 16:17,Chennai,1,Mobile,0,0,1481,4627.8,2,0,14,16,1,0
T0007545,U1762,1489.38,UPI,01-11-2024 11:09,Delhi,0,Mobile,0,0,3256,2666.59,2,0,568,11,0,0
T0052790,U6277,3237.61,UPI,17-11-2024 15:47,Mumbai,0,Mobile,0,1,825,2828.87,1,0,1052,15,1,0
T0010707,U2076,4857.85,NEFT,16-03-2024 07:33,Kolkata,0,Mobile,0,0,1419,4810.05,0,0,340,7,1,0
T0026958,U3700,1523.28,NEFT,17-03-2024 04:33,Mumbai,0,Mobile,0,0,434,944.29,5,0,256,4,1,0
T0068302,U7826,226.6085567,UPI,06-04-2024 11:52,Bangalore,0,Tablet,0,1,1126,4908.25,7,0,786,11,1,1
T0079370,U8921,5538.7,POS,03-02-2024 20:22,Kolkata,0,Mobile,0,0,2206,4210.31,2,2,764,20,1,0
T0009693,U1978,4261.68,UPI,21-06-2024 15:08,Delhi,0,Mobile,0,0,2041,4299.19,3,0,1272,15,0,0
T0076361,U8637,8725.155,UPI,18-08-2024 08:25,Chennai,1,Desktop,1,1,1138,6299.08,5,1,795,8,1,1
T0004553,U1459,3483.84,NEFT,02-08-2024 08:10,Kolkata,0,Mobile,0,0,616,4305.04,1,0,449,8,0,0
T0042330,U5222,5295.79,UPI,13-10-2024 04:48,Hyderabad,0,Tablet,0,1,2500,3579.53,16,0,1,4,1,1
T0014606,U2465,3581.05,RTGS,13-05-2024 05:39,Delhi,0,Mobile,0,0,2878,4201.19,2,0,1200,5,0,0
T0062974,U7296,6565.25,POS,07-05-2024 16:27,Mumbai,0,Mobile,0,0,2549,5407.66,1,1,751,3,0,1
T0000918,U1092,5144.21,POS,22-02-2024 16:48,Mumbai,0,Desktop,0,0,3465,4032.61,4,2,845,16,0,0
T0032903,U4301,5923.04,NEFT,25-05-2024 19:39,Hyderabad,0,Tablet,0,0,852,5603.77,5,0,794,19,1,0
T0049766,U5967,4757.28,IMPS,27-08-2024 08:09,Hyderabad,0,Mobile,0,0,1515,3314.24,2,0,1046,8,0,0
T0071867,U8193,4060.82,POS,31-01-2024 20:55,Hyderabad,0,Mobile,0,0,1356,4681.59,2,0,621,20,0,0
T0043505,U5337,2696.55,UPI,28-08-2024 09:55,Hyderabad,0,Mobile,0,0,919,2478.34,2,2,90,9,0,0
T0071747,U8179,4425.01,RTGS,01-05-2024 05:18,Delhi,0,Desktop,0,0,3564,3130.78,1,0,1383,5,0,0
T0089533,U9918,4029.03,NEFT,02-01-2025 07:23,Delhi,0,Mobile,0,1,332,3380.88,3,1,870,7,0,0
T0047337,U5721,2047.26,ATM Withdrawal,15-07-2024 12:55,Kolkata,0,Mobile,0,0,1525,3473.52,2,0,1170,12,0,0
T0096994,U10678,10513.06,NEFT,26-06-2024 11:01,Bangalore,0,Mobile,1,0,1165,5171.18,1,0,1358,11,0,1
T0005668,U1570,5283.84,POS,03-07-2024 15:05,Hyderabad,0,Desktop,0,0,468,3696.34,0,0,886,15,0,0
T0038863,U4892,4695.88,UPI,12-12-2024 09:29,Hyderabad,0,Desktop,1,0,100,4933.3,0,0,1188,9,0,0
T0088463,U9813,5624.77,RTGS,30-06-2024 20:17,Delhi,0,Tablet,0,0,1921,4465.55,0,2,461,20,1,0
T0032337,U4244,2249.81,RTGS,17-05-2024 09:20,Kolkata,0,Mobile,0,0,2591,3212,2,0,204,9,0,0
T0071732,U8177,6298.68,IMPS,11-03-2024 21:58,Kolkata,0,Mobile,0,0,1676,4827.77,2,0,52,21,0,0
T0072482,U8254,3275.56,POS,09-05-2024 12:24,Delhi,0,Mobile,0,0,3329,3685.03,0,1,1375,1,0,1
T0045597,U5545,3080.1,NEFT,16-08-2024 20:25,Mumbai,0,Mobile,0,1,3195,4323.84,0,0,900,20,0,0
T0063142,U7312,1996.63,RTGS,12-02-2024 19:43,Hyderabad,0,Mobile,0,0,3110,1963.31,2,0,1335,19,0,0
T0044479,U5430,3626.83,IMPS,25-08-2024 13:26,Chennai,1,Mobile,0,0,938,3908.55,1,1,699,13,1,0
T0015867,U2588,5384.72,NEFT,25-02-2024 19:50,Chennai,0,Desktop,0,0,2917,5375.36,1,0,20,19,1,0
T0071372,U8142,4800.96,UPI,19-08-2024 03:26,Chennai,0,Mobile,0,0,3514,4533.5,0,1,112,3,0,0
T0058246,U6824,4185.52,UPI,02-11-2024 21:14,Kolkata,0,Desktop,0,0,1422,4393.62,2,0,63,21,1,0
T0015730,U2573,4591.11,RTGS,10-11-2024 22:48,Hyderabad,0,Mobile,0,0,477,5153.92,0,1,1435,22,1,0
T0036107,U4616,5152.79,UPI,21-08-2024 02:34,Mumbai,0,Tablet,0,0,2851,5907.26,2,1,307,2,0,0
T0041944,U5187,2528.54,ATM Withdrawal,31-03-2024 11:33,Delhi,0,Mobile,0,0,1432,2741.86,0,0,615,11,1,0
T0058196,U6819,3550.27,RTGS,25-03-2024 01:16,Bangalore,0,Mobile,0,0,669,4441.26,2,0,83,1,0,0
T0052514,U6249,4832.76,NEFT,15-10-2024 23:26,Mumbai,0,Mobile,0,1,2820,6008.61,2,0,1050,23,0,0
T0012598,U2264,4439.48,RTGS,23-11-2024 04:48,Hyderabad,0,Mobile,0,0,3605,2941.36,1,0,792,4,1,0
T0049481,U5941,533.53,POS,15-04-2024 00:04,Mumbai,0,Mobile,0,0,1946,2302.17,3,0,342,0,0,0
T0044992,U5486,7317.83,UPI,29-06-2024 07:41,Hyderabad,0,Tablet,0,0,2489,5801.23,3,1,628,7,1,0
T0018312,U2843,3323.75,UPI,24-07-2024 13:32,Bangalore,0,Mobile,0,0,2398,2196.01,4,0,502,13,0,0
T0023390,U3352,2776.83,IMPS,05-02-2024 08:54,Mumbai,0,Mobile,0,0,994,3543.53,1,0,783,2,0,1
T0029627,U3979,4405.34,UPI,06-07-2024 12:00,Kolkata,0,Mobile,0,0,757,3716.19,0,0,1105,12,1,0
T0069896,U7992,1330.05,UPI,25-08-2024 18:36,Kolkata,0,Mobile,0,1,3023,2420.18,0,2,1076,18,1,0
T0083969,U9374,7295.79,UPI,29-07-2024 16:39,Bangalore,0,Mobile,0,0,220,5409.74,0,1,27,16,0,0
T0059791,U6972,1945.07,IMPS,04-11-2024 13:41,Delhi,0,Desktop,0,0,3178,3084.2,0,0,94,13,0,0
T0044210,U5404,2409.59,RTGS,30-04-2024 00:35,Hyderabad,0,Mobile,0,0,118,3331.51,1,0,1168,0,0,0
T0099313,U10914,2360.52,IMPS,29-03-2024 04:40,Bangalore,0,Mobile,0,0,2481,2196.35,0,0,436,4,0,0
T0065442,U7541,1522.05,UPI,11-10-2024 03:48,Hyderabad,0,Mobile,0,0,3358,3537.52,3,1,778,3,0,0
T0007082,U1713,4723.66,NEFT,21-02-2024 07:59,Bangalore,0,Desktop,0,0,3628,4329.63,1,0,683,7,0,0
T0031762,U4187,3285.9,UPI,23-06-2024 10:00,Chennai,0,Desktop,0,0,1966,2525.95,2,0,978,4,0,1
T0044060,U5391,4998.4,RTGS,21-04-2024 19:05,Mumbai,0,Mobile,0,0,3131,4444.94,3,0,588,19,1,0
T0037244,U4733,5959.86,IMPS,13-02-2024 15:39,Chennai,1,Mobile,0,0,2813,5347.84,0,0,84,15,0,0
T0000100,U1010,3978.89,ATM Withdrawal,04-04-2024 08:05,Kolkata,0,Tablet,0,0,2328,5125.84,3,0,974,8,0,0
T0092695,U10233,3039.15,ATM Withdrawal,10-10-2024 09:57,Chennai,0,Mobile,0,0,2203,3902.52,1,1,1374,9,0,0
T0071363,U8141,2044.12,ATM Withdrawal,23-10-2024 10:37,Hyderabad,1,Mobile,0,0,3189,1891.93,3,0,1010,10,0,0
T0022303,U3239,3994.41,IMPS,04-04-2024 02:33,Bangalore,0,Desktop,0,0,1658,4323.35,2,1,1390,2,0,0
T0037042,U4714,3458.34,NEFT,21-09-2024 15:34,Mumbai,0,Desktop,0,0,2611,4692.73,2,0,451,15,1,0
T0030551,U4065,4342.24,ATM Withdrawal,04-12-2024 16:30,Chennai,0,Mobile,0,0,3269,2728.46,1,0,732,16,0,0
T0007841,U1792,2162.94,UPI,16-04-2024 00:12,Kolkata,0,Desktop,0,0,348,3462.22,2,1,381,0,0,0
T0006086,U1615,4103.48,NEFT,04-10-2024 15:07,Bangalore,0,Desktop,0,0,2869,3261.12,2,0,777,15,0,0
T0038362,U4842,2949.86,UPI,15-08-2024 23:31,Delhi,0,Desktop,0,0,3554,2259.02,2,0,1045,4,0,1
T0001433,U1143,5672.81,IMPS,05-01-2025 13:34,Chennai,0,Desktop,0,0,2009,4659.46,4,0,1305,13,1,0
T0006970,U1702,3003,ATM Withdrawal,10-01-2024 12:58,Hyderabad,0,Mobile,0,1,139,3406.41,0,0,1129,12,0,0
T0065002,U7496,4749.91,POS,25-05-2024 11:33,Bangalore,0,Mobile,0,0,1964,5436.22,3,0,917,11,1,0
T0067648,U7761,2560.63,IMPS,08-08-2024 04:45,Chennai,1,Mobile,0,0,3539,3464.37,0,0,571,4,0,0
T0058861,U6879,4004.65,NEFT,30-10-2024 22:13,Kolkata,0,Desktop,0,0,1198,4277.36,3,0,1328,22,0,0
T0088240,U9791,1272.89,UPI,10-06-2024 23:14,Bangalore,0,Desktop,0,0,1954,2243.16,2,0,152,23,0,0
T0003067,U1317,2623.03,NEFT,19-12-2024 12:16,Hyderabad,0,Mobile,0,0,1640,2509.65,0,0,73,12,0,0
T0072880,U8293,2178.36,ATM Withdrawal,13-11-2024 12:17,Kolkata,0,Mobile,0,0,2981,1773.22,1,0,640,12,0,0
T0095855,U10560,4096.99,POS,04-03-2024 15:37,Chennai,0,Mobile,0,0,2230,4453.63,0,0,1073,15,0,0
T0090697,U10035,1304.93,RTGS,02-03-2024 22:53,Kolkata,0,Mobile,0,0,2117,2610.66,2,0,1389,22,1,0
T0099534,U10935,5318.85,ATM Withdrawal,14-10-2024 02:07,Hyderabad,0,Mobile,0,0,2983,4395.53,4,0,943,2,0,0
T0085560,U9524,3742.81,POS,11-06-2024 16:38,Bangalore,0,Mobile,0,0,3061,3877.82,3,0,607,16,0,0
T0009677,U1977,4578.34,UPI,19-06-2024 17:13,Bangalore,0,Mobile,0,0,1045,4245.58,1,0,980,17,0,0
T0088950,U9861,4464.57,IMPS,26-03-2024 22:14,Bangalore,0,Mobile,0,0,788,4065.27,4,2,4,22,0,0
T0067162,U7713,4894.8,UPI,08-04-2024 00:15,Hyderabad,0,Desktop,0,0,3025,3902.07,5,0,23,0,0,0
T0009424,U1950,6116.22,UPI,23-11-2024 16:43,Bangalore,0,Mobile,0,0,568,5323.65,4,1,118,16,1,0
T0028275,U3840,4758.09,IMPS,04-11-2024 11:08,Bangalore,0,Mobile,0,0,1445,3891.26,3,1,774,11,0,0
T0073499,U8354,1361.94,IMPS,07-11-2024 02:39,Delhi,0,Mobile,0,0,809,3522.26,1,0,1378,2,0,0
T0008194,U1825,2162.92,RTGS,24-08-2024 00:47,Bangalore,0,Tablet,0,0,3397,3563.79,0,0,394,0,1,0
T0063991,U7396,5727.69,UPI,12-11-2024 07:02,Kolkata,0,Mobile,0,0,499,5854.41,2,0,1354,7,0,0
T0052856,U6283,3748.99,UPI,26-09-2024 22:08,Mumbai,0,Mobile,0,0,2481,3915.36,3,0,89,22,0,0
T0057389,U6740,1684.14,UPI,14-09-2024 09:42,Chennai,0,Mobile,0,0,644,2074.13,0,0,112,9,1,0
T0092285,U10193,3829.3,UPI,12-12-2024 16:48,Chennai,0,Mobile,0,0,356,2776.82,3,0,532,16,0,0
T0088024,U9772,5842.41,UPI,31-07-2024 11:19,Hyderabad,0,Desktop,0,0,1807,4648.63,2,0,711,11,0,0
T0016958,U2706,3476.63,NEFT,17-11-2024 17:32,Bangalore,0,Desktop,0,0,1975,4142.15,0,1,1166,17,1,0
T0092416,U10204,5050.68,IMPS,26-01-2024 01:03,Bangalore,0,Tablet,0,1,798,4495.7,2,0,1310,1,0,0
T0097997,U10776,4629.28,IMPS,06-10-2024 23:25,Bangalore,0,Mobile,0,1,324,5190.26,1,0,221,23,1,0
T0018011,U2811,3610.89,POS,25-06-2024 02:29,Bangalore,0,Mobile,0,0,1470,3580.27,1,1,1348,2,0,0
T0054071,U6402,1415.72,IMPS,07-04-2024 14:49,Mumbai,0,Desktop,0,0,3395,2196.85,1,1,397,14,1,0
T0047156,U5704,472.5788632,UPI,21-08-2024 16:39,Mumbai,0,Mobile,0,1,622,3197.84,7,0,240,16,0,1
T0034868,U4496,5611.96,ATM Withdrawal,19-03-2024 00:23,Mumbai,0,Mobile,0,0,1055,4834.44,2,0,760,0,0,0
T0062248,U7221,3718.44,IMPS,17-06-2024 11:15,Mumbai,0,Desktop,0,0,2330,3928.33,3,0,1061,11,0,0
T0008747,U1880,4179.62,NEFT,10-09-2024 17:58,Bangalore,0,Mobile,0,0,3315,4540.01,2,0,643,17,0,0
T0035796,U4585,2545.7,IMPS,13-01-2024 09:35,Chennai,0,Desktop,0,0,2100,3617.75,2,0,239,9,1,0
T0018102,U2821,3559.36,RTGS,08-06-2024 03:11,Delhi,0,Desktop,0,0,1880,4129.62,3,0,1073,3,1,0
T0072802,U8285,354.0663125,POS,02-10-2024 14:17,Mumbai,0,Mobile,0,1,1578,4003.81,6,2,821,14,0,1
T0060536,U7051,5512.39,UPI,03-09-2024 23:53,Mumbai,0,Desktop,0,0,2369,6425.99,0,0,1014,23,0,0
T0008164,U1822,7647.43,POS,11-01-2024 15:50,Kolkata,0,Mobile,0,0,2059,6158.02,1,0,299,15,0,0
T0030197,U4033,6234.94,IMPS,24-11-2024 21:26,Delhi,0,Mobile,0,0,3083,4115.52,2,0,391,21,1,0
T0024397,U3453,5200.32,RTGS,26-03-2024 22:24,Chennai,0,Tablet,0,0,697,4731.99,0,0,170,22,0,0
T0003910,U1399,6155.12,UPI,03-12-2024 09:44,Mumbai,0,Mobile,0,0,2546,6059.34,2,0,51,9,0,0
T0054346,U6429,4153.09,UPI,24-01-2024 19:29,Hyderabad,0,Mobile,1,0,2541,4145.51,1,0,401,19,0,0
T0016395,U2642,6402.11,NEFT,22-02-2024 06:06,Hyderabad,0,Mobile,0,0,647,5429.81,1,0,335,6,0,0
T0068123,U7808,5286.82,IMPS,17-08-2024 11:15,Delhi,0,Mobile,0,0,2247,4215.53,5,0,1338,11,1,0
T0036858,U4694,3837.98,IMPS,31-10-2024 14:01,Mumbai,0,Mobile,0,0,2667,4357.45,0,0,66,14,0,0
T0098520,U10834,4643.83,UPI,04-07-2024 02:17,Mumbai,0,Tablet,0,0,3504,4794.44,1,0,1359,2,0,0
T0090287,U9993,4749.46,UPI,25-04-2024 14:40,Mumbai,0,Desktop,0,0,1201,4371.13,0,1,585,14,0,0
T0019038,U2912,4772.18,NEFT,14-08-2024 02:39,Bangalore,0,Mobile,0,0,2063,4307.33,4,1,729,2,0,0
T0016767,U2685,1467.52,NEFT,03-08-2024 02:50,Mumbai,0,Tablet,0,1,2467,2950.7,0,0,1262,2,1,0
T0008881,U1893,2016.37,UPI,28-07-2024 18:52,Chennai,0,Desktop,0,1,1144,3288.94,1,0,1386,18,1,0
T0003005,U1310,2992.22,IMPS,28-06-2024 08:28,Kolkata,0,Mobile,0,0,2381,3720.01,4,1,710,8,0,0
T0004955,U1499,3368.54,IMPS,16-07-2024 09:29,Mumbai,0,Mobile,0,0,1871,3673.37,2,0,560,9,0,0
T0080653,U9052,6540.98,IMPS,11-03-2024 18:50,Delhi,0,Mobile,0,0,2040,5839.48,2,0,866,18,0,0
T0083702,U9347,2836.22,IMPS,31-05-2024 17:27,Mumbai,0,Desktop,0,0,3226,2723.22,5,1,1249,17,0,0
T0049450,U5938,1116.65,UPI,16-10-2024 16:24,Kolkata,0,Mobile,0,0,839,2018.95,1,0,15,16,0,0
T0012747,U2279,3137.99,ATM Withdrawal,10-06-2024 03:41,Bangalore,0,Mobile,0,0,1164,2802.34,2,0,1170,3,0,0
T0061556,U7147,3735.19,IMPS,25-04-2024 11:33,Bangalore,0,Mobile,0,0,2627,3649.96,0,1,1254,11,0,0
T0046856,U5673,4343.41,NEFT,09-05-2024 21:00,Bangalore,0,Mobile,0,0,1393,4196.8,1,0,1434,21,0,0
